period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,current_assets,current_liabilities,long_term_debt,revenue,operating_income,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,current_debt,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2007-05-31,2010-07-01,10-K,2010,FY,,,,,,,,,17235000000.0,6218000000.0,5026247000.0,,,,,,,,,,
2008-05-31,2009-09-21,10-Q,2010,Q1,,,,,,,,,,8262000000.0,5013168000.0,,,,,,,,,,
2008-05-31,2009-12-22,10-Q,2010,Q2,,,,,,,,,,8262000000.0,5011220000.0,,,,,,,,,,
2008-05-31,2010-03-29,10-Q,2010,Q3,,,,,,,,,,8262000000.0,5019091000.0,,,,,,,,,,
2008-05-31,2010-07-01,10-K,2010,FY,,,,,,0.0,7844000000.0,5581000000.0,23394000000.0,8262000000.0,5026247000.0,-394000000.0,,,,,,inf,,-19.908629441624367,
2008-05-31,2011-06-28,10-K,2011,FY,,,,,,,,,23394000000.0,8262000000.0,5065515000.0,,,,,,,,,,
2008-08-31,2009-09-21,10-Q,2010,Q1,,,,,,5331000000.0,1521000000.0,,,8553000000.0,5013168000.0,-159000000.0,,,,,,,,-9.566037735849056,
2008-11-30,2009-12-22,10-Q,2010,Q2,,,,,,5607000000.0,1975000000.0,,,7353000000.0,5011220000.0,-157000000.0,,,,,,,,-12.579617834394904,
2009-02-28,2010-03-29,10-Q,2010,Q3,,,,,,0.0,1940000000.0,,,8211000000.0,5019091000.0,-154000000.0,,,,,,,,-12.597402597402597,
2009-05-31,2009-09-21,10-Q,2010,Q1,18581000000.0,9149000000.0,18581000000.0,9149000000.0,,,,,25445000000.0,8995000000.0,5013168000.0,,,9149000000.0,9149000000.0,0.4923846940423013,2.030932342332495,,,,0.4840966578763253
2009-05-31,2009-12-22,10-Q,2010,Q2,18581000000.0,9149000000.0,18581000000.0,9149000000.0,,,,,25445000000.0,8995000000.0,5011220000.0,,,9149000000.0,9149000000.0,0.4923846940423013,2.030932342332495,,,,0.4840966578763253
2009-05-31,2010-03-29,10-Q,2010,Q3,18581000000.0,9149000000.0,18581000000.0,9149000000.0,,,,,25445000000.0,8995000000.0,5019091000.0,,,9149000000.0,9149000000.0,0.4923846940423013,2.030932342332495,,,,0.4840966578763253
2009-05-31,2010-07-01,10-K,2010,FY,18581000000.0,9149000000.0,18581000000.0,9149000000.0,,0.0,8321000000.0,5677000000.0,25445000000.0,8995000000.0,5026247000.0,-630000000.0,,9149000000.0,9149000000.0,0.4923846940423013,2.030932342332495,inf,0.30552715139120606,-13.207936507936507,0.4840966578763253
2009-05-31,2010-12-21,10-Q,2011,Q2,,,,,,,,,,8995000000.0,5052420000.0,,,,,,,,,,
2009-05-31,2011-03-29,10-Q,2011,Q3,,,,,,,,,,8995000000.0,5060516000.0,,,,,,,,,,
2009-05-31,2011-06-28,10-K,2011,FY,,,,,,23252000000.0,8321000000.0,5677000000.0,25445000000.0,8995000000.0,5065515000.0,630000000.0,,,,,,0.2441510407706864,,13.207936507936507,
2009-05-31,2012-06-26,10-K,2012,FY,,,,,,,,,25445000000.0,8995000000.0,4882506000.0,,,,,,,,,,
2009-08-31,2009-09-21,10-Q,2010,Q1,24445000000.0,9160000000.0,24445000000.0,9160000000.0,,5054000000.0,1740000000.0,,26487000000.0,16098000000.0,5013168000.0,-179000000.0,,9160000000.0,9160000000.0,0.37471875639190017,2.6686681222707422,,,-9.720670391061452,0.6585395786459398
2009-09-16,2009-09-21,10-Q,2010,Q1,,,,,,,,,,,5013168000.0,,,,,,,,,,
2009-11-30,2009-12-22,10-Q,2010,Q2,25235000000.0,8534000000.0,25235000000.0,8534000000.0,,5858000000.0,2178000000.0,,27915000000.0,14919000000.0,5011220000.0,-188000000.0,,8534000000.0,8534000000.0,0.33818109768179117,2.9569955472228733,,,-11.585106382978724,0.591202694670101
2009-11-30,2010-12-21,10-Q,2011,Q2,,,,,,0.0,2178000000.0,,,14919000000.0,5052420000.0,188000000.0,,,,,,,,11.585106382978724,
2009-12-15,2009-12-22,10-Q,2010,Q2,,,,,,,,,,,5011220000.0,,,,,,,,,,
2010-02-28,2010-03-29,10-Q,2010,Q3,23979000000.0,14251000000.0,23979000000.0,14251000000.0,,458000000.0,1843000000.0,,28851000000.0,9331000000.0,5019091000.0,-186000000.0,,14251000000.0,14251000000.0,0.5943116893948872,1.6826187635955372,,,-9.908602150537634,0.38913215730430795
2010-02-28,2011-03-29,10-Q,2011,Q3,,,,,,458000000.0,1843000000.0,,,9331000000.0,5060516000.0,186000000.0,,,,,,,,9.908602150537634,
2010-03-23,2010-03-29,10-Q,2010,Q3,,,,,,,,,,,5019091000.0,,,,,,,,,,
2010-05-31,2010-07-01,10-K,2010,FY,27004000000.0,14691000000.0,27004000000.0,14691000000.0,,2290000000.0,9062000000.0,6230000000.0,31199000000.0,9914000000.0,5026247000.0,-754000000.0,,14691000000.0,14691000000.0,0.5440305139979262,1.8381321897760534,2.7205240174672487,0.23070656199081618,-12.018567639257295,0.36713079543771293
2010-05-31,2010-12-21,10-Q,2011,Q2,27004000000.0,14691000000.0,27004000000.0,14691000000.0,,,,,31199000000.0,9914000000.0,5052420000.0,,,14691000000.0,14691000000.0,0.5440305139979262,1.8381321897760534,,,,0.36713079543771293
2010-05-31,2011-03-29,10-Q,2011,Q3,27004000000.0,14691000000.0,27004000000.0,14691000000.0,,,,,31199000000.0,9914000000.0,5060516000.0,,,14691000000.0,14691000000.0,0.5440305139979262,1.8381321897760534,,,,0.36713079543771293
2010-05-31,2011-06-28,10-K,2011,FY,27004000000.0,14691000000.0,27004000000.0,14691000000.0,,2290000000.0,9062000000.0,6230000000.0,31199000000.0,9914000000.0,5065515000.0,754000000.0,,14691000000.0,14691000000.0,0.5440305139979262,1.8381321897760534,2.7205240174672487,0.23070656199081618,12.018567639257295,0.36713079543771293
2010-05-31,2011-09-23,10-Q,2012,Q1,,,,,,,,,,9914000000.0,5044602000.0,,,,,,,,,,
2010-05-31,2011-12-23,10-Q,2012,Q2,,,,,,,,,,9914000000.0,5025837000.0,,,,,,,,,,
2010-05-31,2012-03-23,10-Q,2012,Q3,,,,,,,,,,9914000000.0,4975106000.0,,,,,,,,,,
2010-05-31,2012-06-26,10-K,2012,FY,,,,,,26820000000.0,9062000000.0,6230000000.0,31199000000.0,9914000000.0,4882506000.0,754000000.0,,,,,,0.23228933631618195,,12.018567639257295,
2010-05-31,2013-06-26,10-K,2013,FY,,,,,,,,,31199000000.0,9914000000.0,4630807000.0,,,,,,,,,,
2010-06-22,2010-07-01,10-K,2010,FY,,,,,,,,,,,5026247000.0,,,,,,,,,,
2010-08-31,2011-09-23,10-Q,2012,Q1,,,,,,7502000000.0,1917000000.0,,,12018000000.0,5044602000.0,196000000.0,,,,,,,,9.78061224489796,
2010-11-30,2010-12-21,10-Q,2011,Q2,32723000000.0,13336000000.0,32723000000.0,13336000000.0,,1753000000.0,2770000000.0,,34850000000.0,10420000000.0,5052420000.0,214000000.0,,13336000000.0,13336000000.0,0.4075420957736149,2.45373425314937,,,12.94392523364486,0.3184304617547291
2010-11-30,2011-12-23,10-Q,2012,Q2,,,,,,8582000000.0,2770000000.0,,,10420000000.0,5025837000.0,214000000.0,,,,,,,,12.94392523364486,
2010-12-13,2010-12-21,10-Q,2011,Q2,,,,,,,,,,,5052420000.0,,,,,,,,,,
2011-02-28,2011-03-29,10-Q,2011,Q3,32459000000.0,11282000000.0,32459000000.0,11282000000.0,,1664000000.0,2987000000.0,,37059000000.0,11864000000.0,5060516000.0,204000000.0,,11282000000.0,11282000000.0,0.3475769432206784,2.87706080482184,,,14.642156862745098,0.3655072553066946
2011-02-28,2012-03-23,10-Q,2012,Q3,,,,,,8764000000.0,2987000000.0,,,11864000000.0,4975106000.0,204000000.0,,,,,,,,14.642156862745098,
2011-03-21,2011-03-29,10-Q,2011,Q3,,,,,,,,,,,5060516000.0,,,,,,,,,,
2011-05-31,2011-06-28,10-K,2011,FY,39174000000.0,14192000000.0,39174000000.0,14192000000.0,,6944000000.0,12033000000.0,8644000000.0,40245000000.0,16163000000.0,5065515000.0,808000000.0,,14192000000.0,14192000000.0,0.3622811048144177,2.7602874859075537,1.244815668202765,0.22065655792107008,14.892326732673267,0.41259508857915966
2011-05-31,2011-09-23,10-Q,2012,Q1,39174000000.0,14192000000.0,39174000000.0,14192000000.0,,,,,40245000000.0,16163000000.0,5044602000.0,,,14192000000.0,14192000000.0,0.3622811048144177,2.7602874859075537,,,,0.41259508857915966
2011-05-31,2011-12-23,10-Q,2012,Q2,39174000000.0,14192000000.0,39174000000.0,14192000000.0,,,,,40245000000.0,16163000000.0,5025837000.0,,,14192000000.0,14192000000.0,0.3622811048144177,2.7602874859075537,,,,0.41259508857915966
2011-05-31,2012-03-23,10-Q,2012,Q3,39174000000.0,14192000000.0,39174000000.0,14192000000.0,,,,,40245000000.0,16163000000.0,4975106000.0,,,14192000000.0,14192000000.0,0.3622811048144177,2.7602874859075537,,,,0.41259508857915966
2011-05-31,2012-06-26,10-K,2012,FY,39174000000.0,14192000000.0,39174000000.0,14192000000.0,,35622000000.0,12033000000.0,8644000000.0,40245000000.0,16163000000.0,4882506000.0,808000000.0,,14192000000.0,14192000000.0,0.3622811048144177,2.7602874859075537,0.24265903093593846,0.22065655792107008,14.892326732673267,0.41259508857915966
2011-05-31,2012-09-24,10-Q,2013,Q1,,,,,,,,,,16163000000.0,4819056000000000.0,,,,,,,,,,
2011-05-31,2012-12-21,10-Q,2013,Q2,,,,,,,,,,16163000000.0,4734297000.0,,,,,,,,,,
2011-05-31,2013-03-22,10-Q,2013,Q3,,,,,,,,,,16163000000.0,4710658000.0,,,,,,,,,,
2011-05-31,2013-06-26,10-K,2013,FY,,,,,,35622000000.0,12033000000.0,8644000000.0,40245000000.0,16163000000.0,4630807000.0,808000000.0,,,,,,0.24265903093593846,,14.892326732673267,
2011-05-31,2014-06-26,10-K,2014,FY,,,,,,,,,40245000000.0,16163000000.0,4454889000.0,,,,,,,,,,
2011-06-20,2011-06-28,10-K,2011,FY,,,,,,,,,,,5065515000.0,,,,,,,,,,
2011-08-31,2011-09-23,10-Q,2012,Q1,39206000000.0,13056000000.0,39206000000.0,13056000000.0,,8374000000.0,2683000000.0,,41239000000.0,13162000000.0,5044602000.0,192000000.0,,13056000000.0,13056000000.0,0.33301025353262254,3.0029105392156863,,,13.973958333333334,0.33571392133857064
2011-08-31,2012-09-24,10-Q,2013,Q1,,,,,,8374000000.0,2683000000.0,1840000000.0,,13162000000.0,4819056000000000.0,192000000.0,,,,,,0.21972772868402196,,13.973958333333334,
2011-09-16,2011-09-23,10-Q,2012,Q1,,,,,,,,,,,5044602000.0,,,,,,,,,,
2011-11-30,2011-12-23,10-Q,2012,Q2,38482000000.0,11072000000.0,38482000000.0,11072000000.0,,8792000000.0,3111000000.0,,42267000000.0,13286000000.0,5025837000.0,192000000.0,,11072000000.0,11072000000.0,0.28771893352736344,3.475614161849711,,,16.203125,0.34525232576269427
2011-11-30,2012-12-21,10-Q,2013,Q2,,,,,,8792000000.0,3111000000.0,2192000000.0,,13286000000.0,4734297000.0,192000000.0,,,,,,0.24931756141947226,,16.203125,
2011-12-16,2011-12-23,10-Q,2012,Q2,,,,,,,,,,,5025837000.0,,,,,,,,,,
2012-02-29,2012-03-23,10-Q,2012,Q3,37538000000.0,11632000000.0,37538000000.0,11632000000.0,,9039000000.0,3317000000.0,,43266000000.0,13781000000.0,4975106000.0,190000000.0,,11632000000.0,11632000000.0,0.3098726623687996,3.2271320495185694,,,17.457894736842107,0.36712131706537376
2012-02-29,2013-03-22,10-Q,2013,Q3,,,,,,9039000000.0,3317000000.0,2498000000.0,,13781000000.0,4710658000.0,190000000.0,,,,,,0.27635800420400486,,17.457894736842107,
2012-03-19,2012-03-23,10-Q,2012,Q3,,,,,,,,,,,4975106000.0,,,,,,,,,,
2012-05-31,2012-06-26,10-K,2012,FY,40023000000.0,15388000000.0,40023000000.0,15388000000.0,,37121000000.0,13706000000.0,10100000000.0,44087000000.0,14955000000.0,4882506000.0,766000000.0,,15388000000.0,15388000000.0,0.38447892461834443,2.6009227969846633,0.2720831874141322,0.25235489593483745,17.89295039164491,0.3736601454163856
2012-05-31,2012-09-24,10-Q,2013,Q1,40023000000.0,15388000000.0,40023000000.0,15388000000.0,,,,,44087000000.0,14955000000.0,4819056000000000.0,,,15388000000.0,15388000000.0,0.38447892461834443,2.6009227969846633,,,,0.3736601454163856
2012-05-31,2012-12-21,10-Q,2013,Q2,40023000000.0,15388000000.0,40023000000.0,15388000000.0,,,,,44087000000.0,14955000000.0,4734297000.0,,,15388000000.0,15388000000.0,0.38447892461834443,2.6009227969846633,,,,0.3736601454163856
2012-05-31,2013-03-22,10-Q,2013,Q3,40023000000.0,15388000000.0,40023000000.0,15388000000.0,,,,,44087000000.0,14955000000.0,4710658000.0,,,15388000000.0,15388000000.0,0.38447892461834443,2.6009227969846633,,,,0.3736601454163856
2012-05-31,2013-06-26,10-K,2013,FY,40023000000.0,15388000000.0,40023000000.0,15388000000.0,,37121000000.0,13706000000.0,10100000000.0,44087000000.0,14955000000.0,4630807000.0,766000000.0,,15388000000.0,15388000000.0,0.38447892461834443,2.6009227969846633,0.2720831874141322,0.25235489593483745,17.89295039164491,0.3736601454163856
2012-05-31,2013-09-20,10-Q,2014,Q1,,,,,,,,,,14955000000.0,4557459000.0,,,,,,,,,,
2012-05-31,2013-12-20,10-Q,2014,Q2,,,,,,,,,,14955000000.0,4497409000.0,,,,,,,,,,
2012-05-31,2014-03-20,10-Q,2014,Q3,,,,,,,,,,14955000000.0,4458886000.0,,,,,,,,,,
2012-05-31,2014-06-26,10-K,2014,FY,,,,,,37121000000.0,13706000000.0,10100000000.0,44087000000.0,14955000000.0,4454889000.0,766000000.0,,,,,,0.2720831874141322,,17.89295039164491,
2012-05-31,2015-06-25,10-K,2015,FY,,,,,,,,,44087000000.0,14955000000.0,4336077000.0,,,,,,,,,,
2012-06-20,2012-06-26,10-K,2012,FY,,,,,,,,,,,4882506000.0,,,,,,,,,,
2012-08-31,2012-09-24,10-Q,2013,Q1,38172000000.0,13955000000.0,38172000000.0,13955000000.0,,8181000000.0,2879000000.0,2034000000.0,43736000000.0,15667000000.0,4819056000000000.0,188000000.0,,13955000000.0,13955000000.0,0.36558210206434033,2.7353636689358654,0.24862486248624863,0.05328513046211883,15.313829787234043,0.4104317300639212
2012-08-31,2013-09-20,10-Q,2014,Q1,,,,,,8181000000.0,2879000000.0,2034000000.0,,15667000000.0,4557459000.0,188000000.0,,,,,,0.24862486248624863,,15.313829787234043,
2012-09-17,2012-09-24,10-Q,2013,Q1,,,,,,,,,,,4819056000000000.0,,,,,,,,,,
2012-11-30,2012-12-21,10-Q,2013,Q2,41129000000.0,12347000000.0,41129000000.0,12347000000.0,,9094000000.0,3471000000.0,2581000000.0,43410000000.0,15912000000.0,4734297000.0,195000000.0,,12347000000.0,12347000000.0,0.3002018040798463,3.3310925730946788,0.283813503408841,0.06275377470884291,17.8,0.3868803034355321
2012-11-30,2013-12-20,10-Q,2014,Q2,,,,,,9094000000.0,3471000000.0,2581000000.0,,15912000000.0,4497409000.0,195000000.0,,,,,,0.283813503408841,,17.8,
2012-12-14,2012-12-21,10-Q,2013,Q2,,,,,,,,,,,4734297000.0,,,,,,,,,,
2013-02-28,2013-03-22,10-Q,2013,Q3,40686000000.0,11916000000.0,40686000000.0,11916000000.0,,8958000000.0,3334000000.0,2504000000.0,43790000000.0,16101000000.0,4710658000.0,205000000.0,,11916000000.0,11916000000.0,0.2928771567615396,3.414400805639476,0.27952668006251397,0.06154451162562061,16.26341463414634,0.39573809172688396
2013-02-28,2014-03-20,10-Q,2014,Q3,,,,,,8958000000.0,3334000000.0,2504000000.0,,16101000000.0,4458886000.0,205000000.0,,,,,,0.27952668006251397,,16.26341463414634,
2013-03-15,2013-03-22,10-Q,2013,Q3,,,,,,,,,,,4710658000.0,,,,,,,,,,
2013-05-31,2013-06-26,10-K,2013,FY,41692000000.0,12872000000.0,41692000000.0,12872000000.0,,37180000000.0,14684000000.0,11037000000.0,45145000000.0,14613000000.0,4630807000.0,797000000.0,,12872000000.0,12872000000.0,0.30874028590616903,3.2389683032939716,0.29685314685314684,0.2647270459560587,18.424090338770387,0.3504988966708241
2013-05-31,2013-09-20,10-Q,2014,Q1,41692000000.0,12872000000.0,41692000000.0,12872000000.0,,,,,45145000000.0,14613000000.0,4557459000.0,,,12872000000.0,12872000000.0,0.30874028590616903,3.2389683032939716,,,,0.3504988966708241
2013-05-31,2013-12-20,10-Q,2014,Q2,41692000000.0,12872000000.0,41692000000.0,12872000000.0,,,,,45145000000.0,14613000000.0,4497409000.0,,,12872000000.0,12872000000.0,0.30874028590616903,3.2389683032939716,,,,0.3504988966708241
2013-05-31,2014-03-20,10-Q,2014,Q3,41692000000.0,12872000000.0,41692000000.0,12872000000.0,,,,,45145000000.0,14613000000.0,4458886000.0,,,12872000000.0,12872000000.0,0.30874028590616903,3.2389683032939716,,,,0.3504988966708241
2013-05-31,2014-06-26,10-K,2014,FY,41692000000.0,12872000000.0,41692000000.0,12872000000.0,,37180000000.0,14684000000.0,11037000000.0,45145000000.0,14613000000.0,4454889000.0,797000000.0,,12872000000.0,12872000000.0,0.30874028590616903,3.2389683032939716,0.29685314685314684,0.2647270459560587,18.424090338770387,0.3504988966708241
2013-05-31,2014-09-23,10-Q,2015,Q1,,,,,,,,,,14613000000.0,4431304000.0,,,,,,,,,,
2013-05-31,2014-12-19,10-Q,2015,Q2,,,,,,,,,,14613000000.0,4391367000.0,,,,,,,,,,
2013-05-31,2015-03-19,10-Q,2015,Q3,,,,,,,,,,14613000000.0,4367070000.0,,,,,,,,,,
2013-05-31,2015-06-25,10-K,2015,FY,,,,,,37180000000.0,14684000000.0,11037000000.0,45145000000.0,14613000000.0,4336077000.0,797000000.0,,,,,,0.29685314685314684,,18.424090338770387,
2013-05-31,2016-06-22,10-K,2016,FY,,,,,,,,,45145000000.0,14613000000.0,4122730000.0,,,,,,,,,,
2013-06-19,2013-06-26,10-K,2013,FY,,,,,,,,,,,4630807000.0,,,,,,,,,,
2013-08-31,2013-09-20,10-Q,2014,Q1,45457000000.0,14526000000.0,45457000000.0,14526000000.0,,8372000000.0,2873000000.0,2191000000.0,43986000000.0,19664000000.0,4557459000.0,217000000.0,,14526000000.0,14526000000.0,0.3195547440438216,3.1293542613245218,0.2617056856187291,0.04819939723254944,13.23963133640553,0.4325846404294168
2013-08-31,2014-09-23,10-Q,2015,Q1,,,,,,8372000000.0,2873000000.0,2191000000.0,,19664000000.0,4431304000.0,217000000.0,,,,,,0.2617056856187291,,13.23963133640553,
2013-09-13,2013-09-20,10-Q,2014,Q1,,,,,,,,,,,4557459000.0,,,,,,,,,,
2013-11-30,2013-12-20,10-Q,2014,Q2,44252000000.0,13110000000.0,44252000000.0,13110000000.0,,9275000000.0,3410000000.0,2553000000.0,44066000000.0,14894000000.0,4497409000.0,230000000.0,,13110000000.0,13110000000.0,0.29625779625779625,3.375438596491228,0.27525606469002695,0.057692307692307696,14.826086956521738,0.33657235831148874
2013-11-30,2014-12-19,10-Q,2015,Q2,,,,,,9275000000.0,3410000000.0,2553000000.0,,14894000000.0,4391367000.0,230000000.0,,,,,,0.27525606469002695,,14.826086956521738,
2013-12-13,2013-12-20,10-Q,2014,Q2,,,,,,,,,,,4497409000.0,,,,,,,,,,
2014-02-28,2014-03-20,10-Q,2014,Q3,44404000000.0,13092000000.0,44404000000.0,13092000000.0,,9307000000.0,3567000000.0,2565000000.0,45235000000.0,16832000000.0,4458886000.0,228000000.0,,13092000000.0,13092000000.0,0.2948383028555986,3.3916895814237704,0.2755990114967229,0.05776506621025133,15.644736842105264,0.3790649491036844
2014-02-28,2015-03-19,10-Q,2015,Q3,,,,,,9307000000.0,3567000000.0,2565000000.0,,16832000000.0,4367070000.0,228000000.0,,,,,,0.2755990114967229,,15.644736842105264,
2014-03-13,2014-03-20,10-Q,2014,Q3,,,,,,,,,,,4458886000.0,,,,,,,,,,
2014-05-31,2014-06-26,10-K,2014,FY,48138000000.0,14389000000.0,48138000000.0,14389000000.0,,38275000000.0,14759000000.0,11053000000.0,47447000000.0,17769000000.0,4454889000.0,914000000.0,,14389000000.0,14389000000.0,0.2989114628775604,3.3454722357356315,0.28877857609405616,0.2296107025634634,16.14770240700219,0.3691262619967593
2014-05-31,2014-09-23,10-Q,2015,Q1,48138000000.0,14389000000.0,48138000000.0,14389000000.0,,,,,47447000000.0,17769000000.0,4431304000.0,,,14389000000.0,14389000000.0,0.2989114628775604,3.3454722357356315,,,,0.3691262619967593
2014-05-31,2014-12-19,10-Q,2015,Q2,48138000000.0,14389000000.0,48138000000.0,14389000000.0,,,,,47447000000.0,17769000000.0,4391367000.0,,,14389000000.0,14389000000.0,0.2989114628775604,3.3454722357356315,,,,0.3691262619967593
2014-05-31,2015-03-19,10-Q,2015,Q3,48138000000.0,14389000000.0,48138000000.0,14389000000.0,,,,,47447000000.0,17769000000.0,4367070000.0,,,14389000000.0,14389000000.0,0.2989114628775604,3.3454722357356315,,,,0.3691262619967593
2014-05-31,2015-06-25,10-K,2015,FY,48128000000.0,14389000000.0,48128000000.0,14389000000.0,,38275000000.0,14759000000.0,11053000000.0,47447000000.0,17769000000.0,4336077000.0,914000000.0,,14389000000.0,14389000000.0,0.2989735704787234,3.3447772604072554,0.28877857609405616,0.22965841090425532,16.14770240700219,0.36920295877659576
2014-05-31,2015-09-18,10-Q,2016,Q1,,,,,,,,,,17769000000.0,4268744000.0,,,,,,,,,,
2014-05-31,2015-12-18,10-Q,2016,Q2,,,,,,,,,,17769000000.0,4201220000.0,,,,,,,,,,
2014-05-31,2016-03-18,10-Q,2016,Q3,,,,,,,,,,17769000000.0,4149865000.0,,,,,,,,,,
2014-05-31,2016-06-22,10-K,2016,FY,,,,,,38275000000.0,14759000000.0,11053000000.0,47447000000.0,17769000000.0,4122730000.0,914000000.0,,,,,,0.28877857609405616,,16.14770240700219,
2014-05-31,2017-06-27,10-K,2017,FY,,,,,,,,,47447000000.0,17769000000.0,4136682000.0,,,,,,,,,,
