period_end,filed,form,fiscal_year,fiscal_period,assets,liabilities,long_term_debt,revenue,net_income,stockholders_equity,cash,shares_outstanding,interest_expense,current_debt,current_liabilities,current_assets,operating_income,default_point_proxy,total_debt_proxy,book_leverage,current_ratio,net_margin,return_on_assets,interest_coverage_proxy,cash_to_assets
2006-12-31,2010-03-11,10-K,2009,FY,,,,,,11673000000.0,,517408663.0,,,,,,,,,,,,,
2007-12-31,2010-03-11,10-K,2009,FY,,,,5891000000.0,1491000000.0,16508000000.0,,517408663.0,3197000000.0,,,,,,,,,0.25309794601935154,,,
2007-12-31,2011-03-01,10-K,2010,FY,,,,,,16508000000.0,,525508324.0,,,,,,,,,,,,,
2008-06-30,2009-08-10,10-Q,2009,Q2,,,,2039000000.0,505000000.0,,,461402998.0,600000000.0,,,,,,,,,0.24767042667974498,,,
2008-09-30,2009-11-06,10-Q,2009,Q3,,,,1654000000.0,259000000.0,,,461290310.0,574000000.0,,,,,,,,,0.156590084643289,,,
2008-12-31,2009-08-10,10-Q,2009,Q2,291081000000.0,263433000000.0,,,,25422000000.0,,461402998.0,,,,,,,,0.9050161295309553,,,,,
2008-12-31,2009-11-06,10-Q,2009,Q3,291081000000.0,263433000000.0,,,,27648000000.0,,461290310.0,,,,,,,,0.9050161295309553,,,,,
2008-12-31,2010-03-11,10-K,2009,FY,291081000000.0,263433000000.0,,6296000000.0,914000000.0,27648000000.0,,517408663.0,2447000000.0,,,,,,,0.9050161295309553,,0.1451715374841169,0.0031400194447593626,,
2008-12-31,2011-03-01,10-K,2010,FY,,,,6296000000.0,914000000.0,27648000000.0,,525508324.0,2447000000.0,,,,,,,,,0.1451715374841169,,,
2008-12-31,2012-02-29,10-K,2011,FY,,,,,,27648000000.0,,527568487.0,,,,,,,,,,,,,
2009-03-31,2010-05-07,10-Q,2010,Q1,,,,3686000000.0,530000000.0,,,526050424.0,939000000.0,,,,,,,,,0.14378730330982095,,,
2009-06-30,2009-08-10,10-Q,2009,Q2,279754000000.0,250287000000.0,,3987000000.0,65000000.0,27294000000.0,,461402998.0,819000000.0,,,,,,,0.8946681727517748,,0.016302984700275896,0.00023234699057028674,,
2009-06-30,2010-08-09,10-Q,2010,Q2,,,,3803000000.0,207000000.0,,,525399769.0,807000000.0,,,,,,,,,0.05443071259531949,,,
2009-07-31,2009-08-10,10-Q,2009,Q2,,,,,,,,461402998.0,,,,,,,,,,,,,
2009-09-30,2009-11-06,10-Q,2009,Q3,271407000000.0,239744000000.0,,4048000000.0,559000000.0,31663000000.0,,461290310.0,666000000.0,,,,,,,0.8833375705121828,,0.13809288537549408,0.0020596373711805516,,
2009-09-30,2010-11-09,10-Q,2010,Q3,,,,3853000000.0,559000000.0,,,525796405.0,664000000.0,,,,,,,,,0.1450817544770309,,,
2009-10-30,2009-11-06,10-Q,2009,Q3,,,,,,,,461290310.0,,,,,,,,,,,,,
2009-12-31,2010-03-11,10-K,2009,FY,269863000000.0,237296000000.0,,16228000000.0,2403000000.0,32567000000.0,,517408663.0,3003000000.0,,,,,,,0.8793202476812308,,0.14807739709144688,0.008904518218503462,,
2009-12-31,2010-05-07,10-Q,2010,Q1,269863000000.0,237296000000.0,,,,32567000000.0,,526050424.0,,,,,,,,0.8793202476812308,,,,,
2009-12-31,2010-08-09,10-Q,2010,Q2,269863000000.0,237296000000.0,,,,32567000000.0,,525399769.0,,,,,,,,0.8793202476812308,,,,,
2009-12-31,2010-11-09,10-Q,2010,Q3,269863000000.0,237296000000.0,,,,32567000000.0,,525796405.0,,,,,,,,0.8793202476812308,,,,,
2009-12-31,2011-03-01,10-K,2010,FY,269863000000.0,237296000000.0,,16228000000.0,2403000000.0,32567000000.0,,525508324.0,3003000000.0,,,,,,,0.8793202476812308,,0.14807739709144688,0.008904518218503462,,
2009-12-31,2012-02-29,10-K,2011,FY,,,,16228000000.0,2403000000.0,32567000000.0,,527568487.0,3003000000.0,,,,,,,,,0.14807739709144688,,,
2009-12-31,2013-03-01,10-K,2012,FY,,,,,,32567000000.0,,528435413.0,,,,,,,,,,,,,
2010-02-26,2010-03-11,10-K,2009,FY,,,,,,,,517408663.0,,,,,,,,,,,,,
2010-03-31,2010-05-07,10-Q,2010,Q1,265396000000.0,235962000000.0,,3763000000.0,671000000.0,29434000000.0,,526050424.0,526000000.0,,,,,,,0.889094033067567,,0.1783151740632474,0.002528297336809899,,
2010-03-31,2011-05-09,10-Q,2011,Q1,,,,3763000000.0,671000000.0,,,526282991.0,526000000.0,,,,,,,,,0.1783151740632474,,,
2010-04-30,2010-05-07,10-Q,2010,Q1,,,,,,,,526050424.0,,,,,,,,,,,,,
2010-06-30,2010-08-09,10-Q,2010,Q2,261695000000.0,230705000000.0,,3912000000.0,803000000.0,30990000000.0,,525399769.0,438000000.0,,,,,,,0.8815797015609774,,0.20526584867075665,0.00306845755555131,,
2010-06-30,2011-08-08,10-Q,2011,Q2,,,,3912000000.0,803000000.0,,,526240991.0,438000000.0,,,,,,,,,0.20526584867075665,,,
2010-07-31,2010-08-09,10-Q,2010,Q2,,,,,,,,525399769.0,,,,,,,,,,,,,
2010-09-30,2010-11-09,10-Q,2010,Q3,260133000000.0,227467000000.0,,3598000000.0,1103000000.0,32666000000.0,,525796405.0,486000000.0,,,,,,,0.8744257745076557,,0.3065591995553085,0.004240138698281264,,
2010-09-30,2011-11-08,10-Q,2011,Q3,,,,3598000000.0,1103000000.0,,,526112070.0,486000000.0,,,,,,,,,0.3065591995553085,,,
2010-10-31,2010-11-09,10-Q,2010,Q3,,,,,,,,525796405.0,,,,,,,,,,,,,
2010-12-31,2011-03-01,10-K,2010,FY,264284000000.0,231446000000.0,,15176000000.0,3397000000.0,32838000000.0,,525508324.0,1920000000.0,,,,,,,0.8757473021446626,,0.2238402741170269,0.01285359688819603,,
2010-12-31,2011-05-09,10-Q,2011,Q1,264284000000.0,231446000000.0,,,,32838000000.0,,526282991.0,,,,,,,,0.8757473021446626,,,,,
2010-12-31,2011-08-08,10-Q,2011,Q2,264284000000.0,231446000000.0,,,,32838000000.0,,526240991.0,,,,,,,,0.8757473021446626,,,,,
2010-12-31,2011-11-08,10-Q,2011,Q3,264284000000.0,231446000000.0,,,,32838000000.0,,526112070.0,,,,,,,,0.8757473021446626,,,,,
2010-12-31,2012-02-29,10-K,2011,FY,264284000000.0,231446000000.0,,15176000000.0,3397000000.0,32838000000.0,,527568487.0,1920000000.0,,,,,,,0.8757473021446626,,0.2238402741170269,0.01285359688819603,,
2010-12-31,2012-05-09,10-Q,2012,Q1,,,,,,32838000000.0,,528783529.0,,,,,,,,,,,,,
2010-12-31,2012-08-08,10-Q,2012,Q2,,,,,,32838000000.0,,529405539.0,,,,,,,,,,,,,
2010-12-31,2012-11-08,10-Q,2012,Q3,,,,,,32838000000.0,,528863145.0,,,,,,,,,,,,,
2010-12-31,2013-03-01,10-K,2012,FY,,,,15176000000.0,3397000000.0,32838000000.0,,528435413.0,1920000000.0,,,,,,,,,0.2238402741170269,,,
2010-12-31,2014-03-03,10-K,2013,FY,,,,,,32838000000.0,,534064610.0,,,,,,,,,,,,,
2011-02-18,2011-03-01,10-K,2010,FY,,,,,,,,525508324.0,,,,,,,,,,,,,
2011-03-31,2011-05-09,10-Q,2011,Q1,259378000000.0,225661000000.0,,3631000000.0,832000000.0,33717000000.0,,526282991.0,407000000.0,,,,,,,0.870008250506982,,0.22913797851831452,0.0032076737425687607,,
2011-03-31,2012-05-09,10-Q,2012,Q1,,,,3631000000.0,832000000.0,33717000000.0,,528783529.0,407000000.0,,,,,,,,,0.22913797851831452,,,
2011-04-30,2011-05-09,10-Q,2011,Q1,,,,,,,,526282991.0,,,,,,,,,,,,,
2011-06-30,2011-08-08,10-Q,2011,Q2,263117000000.0,228244000000.0,,3602000000.0,912000000.0,34873000000.0,,526240991.0,397000000.0,,,,,,,0.8674620035953587,,0.2531926707384786,0.0034661386379443364,,
2011-06-30,2012-08-08,10-Q,2012,Q2,,,,3602000000.0,912000000.0,34873000000.0,,529405539.0,397000000.0,,,,,,,,,0.2531926707384786,,,
2011-07-31,2011-08-08,10-Q,2011,Q2,,,,,,,,526240991.0,,,,,,,,,,,,,
2011-09-30,2011-11-08,10-Q,2011,Q3,269470000000.0,232228000000.0,,3544000000.0,834000000.0,37242000000.0,,526112070.0,355000000.0,,,,,,,0.8617953761086578,,0.2353273137697517,0.003094964188963521,,
2011-09-30,2012-11-08,10-Q,2012,Q3,,,,3544000000.0,834000000.0,37242000000.0,,528863145.0,355000000.0,,,,,,,,,0.2353273137697517,,,
2011-10-31,2011-11-08,10-Q,2011,Q3,,,,,,,,526112070.0,,,,,,,,,,,,,
2011-12-31,2012-02-29,10-K,2011,FY,271205000000.0,233959000000.0,,14326000000.0,3071000000.0,37246000000.0,,527568487.0,1494000000.0,,,,,,,0.8626647738795377,,0.21436548932011726,0.011323537545399236,,
2011-12-31,2012-05-09,10-Q,2012,Q1,271205000000.0,233959000000.0,,,,37246000000.0,,528783529.0,,,,,,,,0.8626647738795377,,,,,
2011-12-31,2012-08-08,10-Q,2012,Q2,271205000000.0,233959000000.0,,,,37246000000.0,,529405539.0,,,,,,,,0.8626647738795377,,,,,
2011-12-31,2012-11-08,10-Q,2012,Q3,271205000000.0,233959000000.0,,,,37246000000.0,,528863145.0,,,,,,,,0.8626647738795377,,,,,
2011-12-31,2013-03-01,10-K,2012,FY,271205000000.0,233959000000.0,,14326000000.0,3071000000.0,37246000000.0,,528435413.0,1494000000.0,,,,,,,0.8626647738795377,,0.21436548932011726,0.011323537545399236,,
2011-12-31,2013-05-09,10-Q,2013,Q1,,,,,,37246000000.0,,529423740.0,,,,,,,,,,,,,
2011-12-31,2013-08-08,10-Q,2013,Q2,,,,,,37246000000.0,,531511981.0,,,,,,,,,,,,,
2011-12-31,2013-11-06,10-Q,2013,Q3,,,,,,37246000000.0,,532107975.0,,,,,,,,,,,,,
2011-12-31,2014-03-03,10-K,2013,FY,,,,14326000000.0,3071000000.0,37246000000.0,,534064610.0,1494000000.0,,,,,,,,,0.21436548932011726,,,
2011-12-31,2015-03-02,10-K,2014,FY,,,,,,37246000000.0,,520689714.0,,,,,,,,,,,,,
2012-02-17,2012-02-29,10-K,2011,FY,,,,,,,,527568487.0,,,,,,,,,,,,,
2012-03-31,2012-05-09,10-Q,2012,Q1,295883000000.0,257647000000.0,,3732000000.0,811000000.0,38236000000.0,,528783529.0,306000000.0,,,,,,,0.870773244829882,,0.21730975348338694,0.002740948280232389,,
2012-03-31,2013-05-09,10-Q,2013,Q1,,,,3732000000.0,811000000.0,38236000000.0,,529423740.0,306000000.0,,,,,,,,,0.21730975348338694,,,
2012-04-30,2012-05-09,10-Q,2012,Q1,,,,,,,,528783529.0,,,,,,,,,,,,,
2012-06-30,2012-08-08,10-Q,2012,Q2,299575000000.0,259361000000.0,,3623000000.0,546000000.0,40214000000.0,,529405539.0,270000000.0,,,,,,,0.8657631644830176,,0.15070383659950318,0.001822581991154135,,
2012-06-30,2013-08-08,10-Q,2013,Q2,,,,3623000000.0,546000000.0,40214000000.0,,531511981.0,270000000.0,,,,,,,,,0.15070383659950318,,,
2012-08-01,2012-08-08,10-Q,2012,Q2,,,,,,,,529405539.0,,,,,,,,,,,,,
2012-09-30,2012-11-08,10-Q,2012,Q3,300803000000.0,259001000000.0,,4088000000.0,925000000.0,41802000000.0,,528863145.0,271000000.0,,,,,,,0.8610319710907138,,0.2262720156555773,0.003075102309484945,,
2012-09-30,2013-11-06,10-Q,2013,Q3,,,,4088000000.0,925000000.0,41802000000.0,,532107975.0,271000000.0,,,,,,,,,0.2262720156555773,,,
2012-10-31,2012-11-08,10-Q,2012,Q3,,,,,,,,528863145.0,,,,,,,,,,,,,
2012-12-31,2013-03-01,10-K,2012,FY,305107000000.0,263342000000.0,,15512000000.0,3001000000.0,41765000000.0,,528435413.0,1094000000.0,,,,,,,0.8631135962137872,,0.1934631253223311,0.009835893637314123,,
2012-12-31,2013-05-09,10-Q,2013,Q1,305107000000.0,263342000000.0,,,,41765000000.0,,529423740.0,,,,,,,,0.8631135962137872,,,,,
2012-12-31,2013-08-08,10-Q,2013,Q2,305107000000.0,263342000000.0,,,,41765000000.0,,531511981.0,,,,,,,,0.8631135962137872,,,,,
2012-12-31,2013-11-06,10-Q,2013,Q3,305107000000.0,263342000000.0,,,,41765000000.0,,532107975.0,,,,,,,,0.8631135962137872,,,,,
2012-12-31,2014-03-03,10-K,2013,FY,305107000000.0,263342000000.0,,15512000000.0,3001000000.0,41765000000.0,,534064610.0,1094000000.0,,,,,,,0.8631135962137872,,0.1934631253223311,0.009835893637314123,,
2012-12-31,2014-05-08,10-Q,2014,Q1,,,,,,41765000000.0,,534128758.0,,,,,,,,,,,,,
2012-12-31,2014-08-07,10-Q,2014,Q2,,,,,,41765000000.0,,540566475.0,,,,,,,,,,,,,
2012-12-31,2014-11-05,10-Q,2014,Q3,,,,,,41765000000.0,,526209756.0,,,,,,,,,,,,,
2012-12-31,2015-03-02,10-K,2014,FY,,,,15512000000.0,2994000000.0,41720000000.0,,520689714.0,1094000000.0,,,,,,,,,0.19301186178442495,,,
2012-12-31,2016-02-29,10-K,2015,FY,,,,,,41720000000.0,,501105185.0,,,,,,,,,,,,,
2013-02-15,2013-03-01,10-K,2012,FY,,,,,,,,528435413.0,,,,,,,,,,,,,
2013-03-31,2013-05-09,10-Q,2013,Q1,300812000000.0,258734000000.0,,3955000000.0,1004000000.0,42078000000.0,,529423740.0,222000000.0,,,,,,,0.8601186122894033,,0.2538558786346397,0.00333763280720184,,
2013-03-31,2014-05-08,10-Q,2014,Q1,,,,3955000000.0,995000000.0,42024000000.0,,534128758.0,222000000.0,,,,,,,,,0.2515802781289507,,,
2013-06-30,2013-08-08,10-Q,2013,Q2,304415000000.0,262474000000.0,,4064000000.0,1123000000.0,41941000000.0,,531511981.0,211000000.0,,,,,,,0.8622242662155282,,0.2763287401574803,0.0036890429183844423,,
2013-06-30,2014-08-07,10-Q,2014,Q2,,,,4064000000.0,1115000000.0,41877000000.0,,540566475.0,211000000.0,,,,,,,,,0.27436023622047245,,,
2013-09-30,2013-11-06,10-Q,2013,Q3,308597000000.0,265777000000.0,,3920000000.0,1039000000.0,42820000000.0,,532107975.0,214000000.0,,,,,,,0.8612429803270932,,0.26505102040816325,0.003366850617471978,,
2013-09-30,2014-11-05,10-Q,2014,Q3,,,,3920000000.0,1028000000.0,42747000000.0,,526209756.0,214000000.0,,,,,,,,,0.26224489795918365,,,
2013-10-31,2013-11-06,10-Q,2013,Q3,,,,,,,,532107975.0,,,,,,,,,,,,,
2013-12-31,2014-03-03,10-K,2013,FY,320296000000.0,276199000000.0,,16012000000.0,4227000000.0,44097000000.0,,534064610.0,860000000.0,,,,,,,0.8623242250917901,,0.2639895078690982,0.013197167619951544,,
2013-12-31,2014-05-08,10-Q,2014,Q1,320192000000.0,276155000000.0,,,,44037000000.0,,534128758.0,,,,,,,,0.8624668948630821,,,,,
2013-12-31,2014-08-07,10-Q,2014,Q2,320192000000.0,276155000000.0,,,,44037000000.0,,540566475.0,,,,,,,,0.8624668948630821,,,,,
2013-12-31,2014-11-05,10-Q,2014,Q3,320192000000.0,276155000000.0,,,,44037000000.0,,526209756.0,,,,,,,,0.8624668948630821,,,,,
2013-12-31,2015-03-02,10-K,2014,FY,320192000000.0,276155000000.0,,16012000000.0,4212000000.0,44037000000.0,,520689714.0,860000000.0,,,,,,,0.8624668948630821,,0.2630527104671496,0.013154607235658604,,
2013-12-31,2015-05-07,10-Q,2015,Q1,,,,,,44037000000.0,,517920355.0,,,,,,,,,,,,,
2013-12-31,2015-08-05,10-Q,2015,Q2,,,,,,44037000000.0,,513599824.0,,,,,,,,,,,,,
2013-12-31,2015-11-05,10-Q,2015,Q3,,,,,,44037000000.0,,507805789.0,,,,,,,,,,,,,
2013-12-31,2016-02-29,10-K,2015,FY,,,,16012000000.0,4212000000.0,44037000000.0,,501105185.0,860000000.0,,,,,,,,,0.2630527104671496,,,
2013-12-31,2017-02-28,10-K,2016,FY,,,,,,44039000000.0,,486156269.0,,,,,,,,,,,,,
2014-02-19,2014-03-03,10-K,2013,FY,,,,,,,,534064610.0,,,,,,,,,,,,,
2014-03-31,2014-05-08,10-Q,2014,Q1,323423000000.0,278505000000.0,,3777000000.0,1060000000.0,44918000000.0,,534128758.0,215000000.0,,,,,,,0.861116865529044,,0.28064601535610273,0.003277441616706295,,
2014-03-31,2015-05-07,10-Q,2015,Q1,,,,3777000000.0,1060000000.0,44918000000.0,,517920355.0,215000000.0,,,,,,,,,0.28064601535610273,,,
2014-04-20,2014-05-08,10-Q,2014,Q1,,,,,,,,534128758.0,,,,,,,,,,,,,
2014-06-30,2014-08-07,10-Q,2014,Q2,327064000000.0,281271000000.0,,3810000000.0,1052000000.0,45793000000.0,,540566475.0,227000000.0,,,,,,,0.8599876476775188,,0.2761154855643045,0.0032164958540224545,,
2014-06-30,2015-08-05,10-Q,2015,Q2,,,,3810000000.0,1052000000.0,45793000000.0,,513599824.0,227000000.0,,,,,,,,,0.2761154855643045,,,
2014-07-25,2014-08-07,10-Q,2014,Q2,,,,,,,,540566475.0,,,,,,,,,,,,,
2014-09-30,2014-11-05,10-Q,2014,Q3,334424000000.0,288429000000.0,,3841000000.0,1038000000.0,45995000000.0,,526209756.0,224000000.0,,,,,,,0.8624650144726455,,0.27024212444675866,0.003103844221706576,,
2014-09-30,2015-11-05,10-Q,2015,Q3,,,,3841000000.0,1038000000.0,45995000000.0,,507805789.0,224000000.0,,,,,,,,,0.27024212444675866,,,
2014-10-24,2014-11-05,10-Q,2014,Q3,,,,,,,,526209756.0,,,,,,,,,,,,,
2014-12-31,2015-03-02,10-K,2014,FY,345072000000.0,298998000000.0,,15375000000.0,4207000000.0,46074000000.0,,520689714.0,906000000.0,,,,,,,0.8664800389483934,,0.2736260162601626,0.012191658552418046,,
2014-12-31,2015-05-07,10-Q,2015,Q1,345072000000.0,298998000000.0,,,,46074000000.0,,517920355.0,,,,,,,,0.8664800389483934,,,,,
2014-12-31,2015-08-05,10-Q,2015,Q2,345072000000.0,298998000000.0,,,,46074000000.0,,513599824.0,,,,,,,,0.8664800389483934,,,,,
2014-12-31,2015-11-05,10-Q,2015,Q3,345072000000.0,298998000000.0,,,,46074000000.0,,507805789.0,,,,,,,,0.8664800389483934,,,,,
2014-12-31,2016-02-29,10-K,2015,FY,345072000000.0,298998000000.0,,15375000000.0,4207000000.0,46074000000.0,,501105185.0,906000000.0,,,,,,,0.8664800389483934,,0.2736260162601626,0.012191658552418046,,
2014-12-31,2016-05-04,10-Q,2016,Q1,,,,,,46074000000.0,,499323737.0,,,,,,,,,,,,,
2014-12-31,2016-08-03,10-Q,2016,Q2,,,,,,46074000000.0,,491409134.0,,,,,,,,,,,,,
2014-12-31,2016-11-04,10-Q,2016,Q3,,,,,,46074000000.0,,486501562.0,,,,,,,,,,,,,
2014-12-31,2017-02-28,10-K,2016,FY,,,,15375000000.0,4207000000.0,46074000000.0,,486156269.0,906000000.0,,,,,,,,,0.2736260162601626,,,
